index,word,onset,offset,boundary,filler,comments,,, ,glossary,  
246,confronts,92.440002,92.940002,0,,,,,,,
247,him,92.940002,93.040001,0,,,,,,,
248,about,93.040001,93.489998,0,,,,,,,
249,reading,93.519997,93.879997,0,,,,,,,
250,her,93.879997,94.089996,0,,,,,,,
251,writing,94.089996,94.389999,0,,,,,,,
252,upside,94.389999,94.690002,0,,,,,,,
253,down,94.690002,94.93,1,,,,,,,
254,and,94.93,94.959999,0,,,,,,,
255,it's,94.959999,95.290001,0,,,,,,,
256,a,95.290001,95.339996,0,,,,,,,
257,very,95.339996,95.540001,0,,,,,,,
258,tense,95.540001,95.779999,0,,,,,,,
259,situation,95.779999,96.360001,1,,,,,,,
260,and,98.089996,98.190002,0,,,,,,,
261,then,98.190002,98.559998,0,,,,,,,
262,um,98.559998,98.959999,0,1,,,,,,
263,that,98.959999,99.290001,0,,,,,,,
264,immediately,99.290001,99.800003,0,,,,,,,
265,cuts,99.800003,100.099998,0,,,,,,,
266,out,100.099998,100.400002,1,,,,,,,
267,and,100.800003,101.330002,0,,,,,,,
268,we,101.540001,102.220001,0,,,,,,,
269,see,102.449997,102.839996,0,,,,,,,
270,a,102.839996,103.519997,0,,,,,,,
271,blonde,104.040001,104.410004,0,,,,,,,
272,woman,104.410004,105.099998,1,,,,,,,
273,um,105.139999,105.540001,0,1,,,,,,
274,she's,105.540001,105.779999,0,,,,,,,
275,in,105.779999,105.889999,0,,,,,,,
276,an,105.889999,106.110001,0,,,,,,,
277,office,106.110001,106.580002,0,,,,,,,
278,building,106.580002,107.400002,1,,,,,,,
279,she's,107.400002,107.589996,0,,,,,,,
280,on,107.589996,107.739998,0,,,,,,,
281,the,107.739998,107.800003,0,,,,,,,
282,phone,107.800003,108.089996,0,,,,,,,
283,with,108.089996,108.239998,0,,,,,,,
284,a,108.239998,108.279999,0,,,,,,,
285,man,108.279999,108.800003,1,,,,,,,
286,and,109.43,109.93,0,,,,,,,
287,um,109.959999,110.470001,0,1,,,,,,
288,we're,110.470001,110.620003,0,,,,,,,
289,not,110.620003,110.989998,0,,,,,,,
290,sure,110.989998,111.169998,0,,,,,,,
291,what,111.169998,111.449997,0,,,,,,,
292,the,111.449997,111.57,0,,,,,,,
293,relationship,111.57,112.199997,0,,,,,,,
294,is,112.199997,112.349998,0,,,,,,,
295,between,112.349998,113.019997,0,,,,,,,
296,her,113.519997,113.660004,0,,,,,,,
297,and,113.660004,113.790001,0,,,,,,,
298,the,113.790001,113.870003,0,,,,,,,
299,man,113.870003,114.32,1,,,,,,,
300,but,115.07,115.480003,0,,,,,,,
301,uh,115.529999,115.989998,0,1,,,,,,
302,she,116.370003,116.540001,0,,,,,,,
303,tells,116.540001,116.919998,0,,,,,,,
304,him,116.919998,117.080002,0,,,,,,,
305,to,117.080002,117.150002,0,,,,,,,
306,get,117.150002,117.379997,0,,,,,,,
307,a,117.379997,117.410004,0,,,,,,,
308,taxi,117.410004,117.809998,0,,,,,,,
309,home,117.809998,118.260002,1,,,,,,,
310,and,119.809998,119.900002,0,,,,,,,
311,then,119.900002,120.309998,0,,,,,,,
312,um,120.309998,120.910004,0,1,,,,,,
313,right,121.620003,121.860001,0,,,,,,,
314,after,121.860001,122.709999,0,,,,,,,
315,we,122.970001,123.639999,0,,,,,,,
316,see,123.970001,124.199997,0,,,,,,,
317,a,124.199997,124.360001,0,,,,,,,
318,clip,124.919998,125.169998,0,,,,,,,
319,of,125.169998,125.580002,0,,,,,,,
320,a,125.730003,125.830002,0,,,,,,,
321,man,125.830002,126.220001,0,,,,,,,
322,taking,126.220001,127.199997,0,,,,,,,
323,a,127.199997,127.809998,0,,,,,,,
324,pill,128.309998,128.570007,0,,,,,,,
325,out,128.570007,128.729996,0,,,,,,,
326,of,128.729996,128.880005,0,,,,,,,
327,like,128.880005,129.179993,0,1,,,,,,
328,this,129.75,129.960007,0,,,,,,,
329,clear,130.25,130.660004,0,,,,,,,
330,bottle,130.660004,131.220001,1,,,,,,,
331,and,131.619995,132.029999,0,,,,,,,
332,um,132.029999,132.630005,0,1,,,,,,
333,the,132.660004,132.740005,0,,,,,,,
334,pill,132.740005,133.070007,0,,,,,,,
335,is,133.070007,133.320007,0,,,,,,,
336,white,133.320007,133.729996,0,,,,,,,
337,with,133.729996,134.240005,0,,,,,,,
338,red,134.240005,134.639999,0,,,,,,,
339,dots,134.639999,134.979996,0,,,,,,,
340,on,134.979996,135.110001,0,,,,,,,
341,it,135.110001,135.330002,1,,,,,,,
342,and,135.710007,136.169998,0,,,,,,,
343,the,136.710007,137.039993,0,,,,,,,
344,the,137.039993,137.369995,0,,repetition,,,,,
345,scene,137.369995,137.779999,0,,,,,,,
346,is,137.779999,137.860001,0,,,,,,,
347,pretty,137.860001,138.139999,0,,,,,,,
348,hazy,138.139999,138.580002,1,,,,,,,
349,so,138.610001,138.669998,0,,,,,,,
350,you're,138.669998,138.860001,0,,,,,,,
351,not,138.860001,139.229996,0,,,,,,,
352,exactly,139.229996,139.589996,0,,,,,,,
353,sure,139.589996,139.789993,0,,,,,,,
354,what's,139.789993,139.899994,0,,,,,,,
355,happening,139.899994,140.320007,1,,,,,,,
356,looks,140.649994,140.880005,0,,,,,,,
357,like,140.880005,141.110001,0,,,,,,,
358,he's,141.110001,141.410004,0,,,,,,,
359,in,141.410004,141.679993,0,,,,,,,
360,some,141.710007,141.869995,0,,,,,,,
361,sort,141.869995,142.080002,0,,,,,,,
362,of,142.080002,142.279999,0,,,,,,,
363,uh,143.449997,143.779999,0,1,,,,,,
364,building,143.809998,144.139999,0,,,,,,,
365,though,144.139999,144.320007,4,,,,,,,
366,like,144.320007,144.490005,0,1,,,,,,
367,right,144.490005,144.649994,0,,,,,,,
368,up,144.649994,144.880005,0,,,,,,,
369,against,144.880005,145.130005,0,,,,,,,
370,the,145.130005,145.220001,0,,,,,,,
371,edge,145.220001,145.5,0,,,,,,,
372,in,145.5,145.660004,0,,,,,,,
373,like,145.660004,145.880005,0,1,,,,,,
374,a,146.199997,146.259995,0,,,,,,,
375,glass,146.259995,146.660004,0,,,,,,,
376,elevator,146.830002,147.309998,0,,,,,,,
377,or,147.309998,147.600006,0,,,,,,,
378,some,147.600006,147.860001,0,,,,,,,
379,small,148.009995,148.240005,0,,,,,,,
380,confined,148.240005,148.690002,0,,,,,,,
381,area,148.690002,149.119995,1,,,,,,,
382,so,149.460007,149.559998,0,2,,,,,,
383,he's,149.559998,149.899994,0,,,,,,,
384,he's,149.899994,150.490005,0,,,,,,,
385,shaking,150.490005,150.889999,1,,,,,,,
386,he,150.889999,151.240005,0,,,,,,,
387,takes,151.240005,151.389999,0,,,,,,,
388,his,151.389999,151.479996,0,,,,,,,
389,pill,151.479996,151.880005,1,,,,,,,
390,and,152.199997,152.449997,0,,,,,,,
391,then,152.449997,152.820007,0,,,,,,,
392,um,152.820007,153.350006,0,1,,,,,,
393,we,153.860001,154.039993,0,,,,,,,
394,see,154.039993,154.210007,0,,,,,,,
395,him,154.210007,154.470001,0,,,,,,,
396,press,154.470001,154.770004,0,,,,,,,
397,against,154.770004,155.190002,0,,,,,,,
398,the,155.190002,155.720001,0,,,,,,,
399,glass,156.100006,156.529999,0,,,,,,,
400,from,156.529999,156.979996,0,,,,,,,
401,an,157.240005,157.410004,0,,,,,,,
402,outside,157.410004,157.940002,0,,,,,,,
403,perspective,157.940002,158.690002,1,,,,,,,
404,and,159.600006,159.679993,0,,,,,,,
405,later,159.679993,160.039993,0,,,,,,,
406,it,160.039993,160.070007,0,,,,,,,
407,revealed,160.070007,160.449997,0,,,,,,,
408,that,160.449997,160.649994,0,,,,,,,
409,he,160.990005,161.410004,0,,,,,,,
410,died,161.410004,161.820007,1,,,,,,,
411,um,162.470001,162.729996,0,1,,,,,,
412,and,162.729996,162.779999,0,,,,,,,
413,it's,162.779999,163.119995,0,,,,,,,
414,implied,163.119995,163.5,0,,,,,,,
415,that,163.5,163.630005,0,,,,,,,
416,that,163.630005,163.839996,0,,,,,,,
417,pill,163.839996,164.119995,0,,,,,,,
418,is,164.119995,164.25,0,,,,,,,
419,the,164.25,164.360001,0,,,,,,,
420,poison,164.360001,164.710007,0,,,,,,,
421,that,164.710007,164.869995,0,,,,,,,
422,killed,164.869995,165.320007,0,,,,,,,
423,him,166.75,166.880005,1,,,,,,,
424,and,166.880005,167.179993,0,,,,,,,
425,um,167.210007,168.009995,0,1,,,,,,
426,then,168.009995,168.229996,0,,,,,,,
427,there's,168.350006,168.619995,0,,,,,,,
428,a,168.669998,168.990005,0,,,,,,,
429,quick,168.990005,169.570007,0,,,,,,,
430,scene,170,170.570007,0,,,,,,,
431,where,171.039993,171.770004,0,,,,,,,
432,uh,172.649994,173.149994,0,1,,,,,,
433,someone,173.279999,174.300003,2,,,,,,,
434,i'm,174.339996,174.460007,0,,,,,,,
435,not,174.460007,174.720001,0,,,,,,,
436,sure,174.720001,174.970001,0,,,,,,,
437,who,174.970001,175.229996,0,,,,,,,
438,it,175.229996,175.339996,0,,,,,,,
439,was,175.339996,175.720001,3,,,,,,,
440,was,176.100006,176.460007,0,,,,,,,
441,saying,176.460007,177.009995,0,,,,,,,
442,um,177.009995,177.410004,0,1,,,,,,
443,this,177.470001,177.720001,0,,,,,,,
444,man,177.720001,178.149994,0,,,,,,,
445,like,178.149994,178.320007,0,1,,,,,,
446,he,178.320007,178.399994,0,,,,,,,
447,was,178.399994,178.529999,0,,,,,,,
448,a,178.529999,178.559998,0,,,,,,,
449,good,178.559998,178.789993,0,,,,,,,
450,person,178.789993,179.289993,1,,,,,,,
451,we're,179.649994,179.759995,0,,,,,,,
452,not,179.759995,179.960007,0,,,,,,,
453,sure,179.960007,180.149994,0,,,,,,,
454,why,180.149994,180.369995,0,,,,,,,
455,he,180.369995,180.479996,0,,,,,,,
456,died,180.479996,180.990005,4,,,,,,,
457,or,181.369995,181.570007,0,,,,,,,
458,i,181.570007,181.649994,0,1,,,,,,
459,mean,181.649994,181.889999,0,1,,,,,,
460,why,181.889999,182.119995,0,,,,,,,
461,he,182.119995,182.229996,0,,,,,,,
462,would,182.229996,182.539993,0,,,,,,,
463,have,182.539993,182.839996,0,,,,,,,
464,committed,182.839996,183.160004,0,,,,,,,
465,suicide,183.160004,183.619995,1,,,,,,,
466,and,183.619995,183.699997,0,,,,,,,
467,then,183.699997,183.850006,0,,,,,,,
468,the,183.850006,184.029999,0,,,,,,,
469,blonde,184.029999,184.330002,0,,,,,,,
470,woman,184.330002,184.570007,0,,,,,,,
471,who,184.570007,184.839996,0,,,,,,,
472,spoke,184.839996,185.100006,0,,,,,,,
473,to,185.100006,185.199997,0,,,,,,,
474,him,185.199997,185.330002,0,,,,,,,
475,on,185.330002,185.449997,0,,,,,,,
476,the,185.449997,185.509995,0,,,,,,,
477,phone,185.509995,185.720001,0,,,,,,,
478,earlier,185.720001,186.149994,0,,,,,,,
479,is,186.470001,186.669998,0,,,,,,,
480,seen,186.669998,186.869995,0,,,,,,,
481,in,186.869995,186.949997,0,,,,,,,
482,the,186.949997,187.039993,0,,,,,,,
483,background,187.039993,187.660004,0,,,,,,,
484,crying,187.660004,188.039993,1,,,,,,,
485,and,188.039993,188.089996,0,,,,,,,
486,then,189.330002,189.839996,0,,,,,,,
487,we,190.210007,190.309998,0,,,,,,,
488,cut,190.309998,190.580002,0,,,,,,,
489,to,190.580002,190.75,0,,,,,,,
490,another,190.75,191.149994,0,,,,,,,
491,scene,191.220001,191.410004,0,,,,,,,
492,of,191.410004,191.630005,0,,,,,,,
493,these,191.630005,191.860001,0,,,,,,,
494,two,192.050003,192.470001,0,,,,,,,
495,teenagers,193.169998,194.009995,4,,,,,,,
496,maybe,194.039993,194.399994,0,,,,,,,
497,early,194.399994,194.660004,0,,,,,,,
498,twenties,194.660004,195.050003,4,,prosody,,,,,
499,these,195.050003,195.190002,0,,,,,,,
500,two,195.190002,195.339996,0,,,,,,,
501,guys,195.339996,195.820007,0,,,,,,,
502,pretty,195.970001,196.169998,0,,,,,,,
503,young,196.169998,196.520004,0,,,,,,,
504,um,196.850006,197.100006,0,1,,,,,,
505,walking,197.100006,197.460007,0,,,,,,,
506,in,197.460007,197.520004,0,,,,,,,
507,the,197.520004,197.639999,0,,,,,,,
508,rain,197.639999,197.949997,1,,,,,,,
509,one,197.949997,198.089996,0,,,,,,,
510,of,198.089996,198.190002,0,,,,,,,
511,them,198.190002,198.75,0,,,,,,,
512,doesn't,198.75,199.100006,0,,,,,,,
513,have,199.100006,199.270004,0,,,,,,,
514,his,199.270004,199.380005,0,,,,,,,
515,umbrella,199.380005,200,0,,,,,,,
516,and,200.389999,200.559998,0,,,,,,,
517,the,200.559998,200.690002,0,,,,,,,
518,other,200.690002,200.850006,0,,,,,,,
519,does,200.850006,201.320007,1,,,,,,,
520,and,201.320007,201.419998,0,,,,,,,
521,it's,201.419998,201.630005,2,,,,,,,
522,um,201.910004,202.360001,0,1,,,,,,
523,it's,202.490005,202.679993,0,,,,,,,
524,raining,202.679993,203.050003,1,,,,,,,
525,it's,203.050003,203.119995,0,,,,,,,
526,dark,203.119995,203.429993,1,,,,,,,
527,it's,203.429993,203.509995,0,,,,,,,
528,in,203.509995,203.570007,0,,,,,,,
529,the,203.570007,203.940002,0,,,,,,,
530,evening,203.940002,204.279999,1,,,,,,,
531,the,204.350006,204.429993,0,,,,,,,
532,one,204.429993,204.649994,0,,,,,,,
533,without,204.649994,204.970001,0,,,,,,,
534,the,204.970001,205.089996,0,,,,,,,
535,umbrella,205.089996,205.529999,0,,,,,,,
536,tells,205.529999,206.050003,0,,,,,,,
537,his,206.050003,206.240005,0,,,,,,,
538,friend,206.240005,206.479996,1,,,,,,,
539,i'm,206.479996,206.610001,0,,start of quote,,,,,
540,gonna,206.610001,206.75,0,,,,,,,
541,go,206.75,206.899994,0,,,,,,,
542,back,206.899994,207.240005,0,,,,,,,
543,and,207.240005,207.610001,0,,,,,,,
544,get,207.610001,207.740005,0,,,,,,,
545,my,207.740005,207.889999,0,,,,,,,
546,umbrella,207.889999,208.199997,0,,,,,,,
547,because,208.199997,208.440002,0,,,,,,,
548,it's,208.440002,208.5,0,,,,,,,
549,raining,208.5,208.800003,1,,end of quote,,,,,
550,and,209.690002,209.759995,0,,,,,,,
551,then,209.759995,210.009995,0,2/0,we disagreed,,,,,
552,so,210.080002,210.360001,0,2,,,,,,
553,he,210.360001,210.669998,0,,,,,,,
554,leaves,210.669998,211.289993,1,,,,,,,
555,and,211.289993,211.679993,0,,,,,,,
556,um,211.710007,212.130005,0,1,,,,,,
557,again,213.630005,214.179993,0,2,,,,,,
558,it's,214.360001,214.419998,0,,,,,,,
559,kind,214.419998,214.630005,0,,,,,,,
560,of,214.630005,214.770004,0,,,,,,,
561,unclear,214.770004,215.289993,0,,,,,,,
562,exactly,215.289993,215.740005,0,,,,,,,
563,what,215.740005,215.869995,0,,,,,,,
564,happens,215.869995,216.289993,1,,,,,,,
565,but,216.289993,216.550003,0,,,,,,,
566,the,216.830002,216.979996,0,,,,,,,
567,friend,216.979996,217.820007,0,,,,,,,
568,was,217.820007,217.899994,0,,,,,,,
569,waiting,217.899994,218.240005,0,,,,,,,
570,for,218.240005,218.399994,0,,,,,,,
571,awhile,218.399994,218.809998,1,,,,,,,
572,we,218.809998,219.029999,0,,,,,,,
573,can,219.029999,219.25,0,,,,,,,
574,assume,219.25,219.460007,0,,,,,,,
575,that,219.460007,219.589996,0,,,,,,,
576,because,219.589996,219.75,0,,,,,,,
577,he,219.75,219.830002,0,,,,,,,
578,checks,220.100006,220.279999,0,,,,,,,
579,his,220.279999,220.410004,0,,,,,,,
580,watch,220.410004,220.740005,0,,,,,,,
581,a,220.740005,220.770004,0,,,,,,,
582,couple,220.770004,221.009995,0,,,,,,,
583,times,221.009995,221.330002,1,,,,,,,
584,and,221.809998,221.940002,0,,,,,,,
585,then,221.940002,222.300003,0,,,,,,,
586,the,222.440002,223.190002,0,,,,,,,
587,guy,223.630005,224.100006,2,,switched to something else,,,,,
588,um,224.100006,224.559998,0,1,,,,,,
589,the,224.690002,225.160004,0,,,,,,,
590,same,225.899994,226.139999,0,,,,,,,
591,bottle,226.139999,226.460007,0,,,,,,,
592,that,226.460007,226.75,0,,,,,,,
593,the,226.75,226.919998,0,,,,,,,
594,man,226.919998,227.229996,0,,,,,,,
595,had,227.229996,227.5,0,,,,,,,
596,earlier,227.5,227.770004,0,,,,,,,
597,with,227.770004,227.899994,0,,,,,,,
598,the,227.899994,227.970001,0,,,,,,,
